@RELATION tomcat

@ATTRIBUTE filename		numeric
@ATTRIBUTE codelines	numeric
@ATTRIBUTE cyclomatic	numeric
@ATTRIBUTE isbug		{0, 1}

@data
1020823389,153,1,0
-199880725,739,1,0
-63931871,129,2,0
1361179672,1031,10,0
1167579013,46,2,0
873078676,24,1,0
-1893007267,11,1,1
693204046,112,1,0
-66648580,35,1,0
-1107110964,669,2,0
-1161238334,1635,1,0
-1764012956,148,3,0
1642787651,681,5,0
-1118162170,690,1,0
1916264517,195,1,0
1045152671,270,6,0
1705361763,118,1,0
-659763688,25,1,0
-1537743794,454,2,0
1944598071,153,2,0
-91825938,3758,2,1
1599518478,864,1,0
-1011069111,57,2,0
-1125239816,171,1,0
-958958473,48,1,0
2047721952,871,2,0
1230651846,286,2,0
-885250380,277,3,0
-611078523,38,1,0
-558536252,34,1,0
-696638940,605,3,0
1458635249,31,2,0
789245191,490,2,0
-460316461,153,2,0
680747697,113,1,0
-1828501054,34,1,0
1632383773,240,2,0
-1857700034,765,2,0
549244290,470,2,0
